[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29510...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=8)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=48)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=48)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29510, priority=P3
[Job1-CRUX] MODE=crux, Payload=2048MB, sleep=30000us, SLO c_i=1.2
[Job1-CRUX] Static Priority: P3 (DSCP=24)
[Job1-CRUX] GPU Intensity I_1 = 30ms / ~85ms ≈ 0.35
[Job1-CRUX] NOTE: Both jobs use P4 (same priority) for MultiComm compatibility
[Job1-CRUX] CRUX cannot dynamically prioritize Job1's strict SLO!
[Job1-CRUX] 300 iters, 20/epoch, 15 epochs
[Job1-CRUX] iter 137 (epoch 6, iter 17): comm=413.3ms, bw=20.78 Gbps [contested]
[Job1-CRUX] iter 138 (epoch 6, iter 18): comm=424.9ms, bw=20.22 Gbps [contested]
[Job1-CRUX] iter 139 (epoch 6, iter 19): comm=419.4ms, bw=20.48 Gbps [contested]
[Job1-CRUX] iter 140 (epoch 7, iter 0): comm=427.2ms, bw=20.11 Gbps [contested]
[Job1-CRUX] iter 141 (epoch 7, iter 1): comm=436.0ms, bw=19.70 Gbps [contested]
[Job1-CRUX] iter 142 (epoch 7, iter 2): comm=439.7ms, bw=19.53 Gbps [contested]
[Job1-CRUX] iter 143 (epoch 7, iter 3): comm=414.8ms, bw=20.71 Gbps [contested]
[Job1-CRUX] iter 144 (epoch 7, iter 4): comm=422.9ms, bw=20.31 Gbps [contested]
[Job1-CRUX] iter 145 (epoch 7, iter 5): comm=419.7ms, bw=20.47 Gbps [contested]
[Job1-CRUX] iter 146 (epoch 7, iter 6): comm=440.3ms, bw=19.51 Gbps [contested]
[Job1-CRUX] iter 147 (epoch 7, iter 7): comm=423.1ms, bw=20.30 Gbps [contested]
[Job1-CRUX] iter 148 (epoch 7, iter 8): comm=441.7ms, bw=19.45 Gbps [contested]
[Job1-CRUX] iter 149 (epoch 7, iter 9): comm=431.5ms, bw=19.91 Gbps [contested]
[Job1-CRUX] iter 150 (epoch 7, iter 10): comm=427.1ms, bw=20.11 Gbps [contested]
[Job1-CRUX] iter 151 (epoch 7, iter 11): comm=407.1ms, bw=21.10 Gbps [contested]
[Job1-CRUX] iter 152 (epoch 7, iter 12): comm=432.0ms, bw=19.88 Gbps [contested]
[Job1-CRUX] iter 153 (epoch 7, iter 13): comm=435.4ms, bw=19.73 Gbps [contested]
[Job1-CRUX] iter 154 (epoch 7, iter 14): comm=431.1ms, bw=19.93 Gbps [contested]
[Job1-CRUX] iter 155 (epoch 7, iter 15): comm=414.7ms, bw=20.71 Gbps [contested]
[Job1-CRUX] iter 156 (epoch 7, iter 16): comm=423.3ms, bw=20.29 Gbps [contested]
[Job1-CRUX] iter 157 (epoch 7, iter 17): comm=432.0ms, bw=19.88 Gbps [contested]
[Job1-CRUX] iter 158 (epoch 7, iter 18): comm=427.9ms, bw=20.07 Gbps [contested]
[Job1-CRUX] iter 159 (epoch 7, iter 19): comm=435.1ms, bw=19.74 Gbps [contested]
[Job1-CRUX] iter 160 (epoch 8, iter 0): comm=436.1ms, bw=19.70 Gbps [contested]
[Job1-CRUX] iter 161 (epoch 8, iter 1): comm=445.2ms, bw=19.29 Gbps [contested]
[Job1-CRUX] iter 162 (epoch 8, iter 2): comm=431.7ms, bw=19.90 Gbps [contested]
[Job1-CRUX] iter 163 (epoch 8, iter 3): comm=417.7ms, bw=20.56 Gbps [contested]
[Job1-CRUX] iter 164 (epoch 8, iter 4): comm=414.1ms, bw=20.74 Gbps [contested]
[Job1-CRUX] iter 165 (epoch 8, iter 5): comm=415.7ms, bw=20.66 Gbps [contested]
[Job1-CRUX] iter 166 (epoch 8, iter 6): comm=413.6ms, bw=20.77 Gbps [contested]
[Job1-CRUX] iter 167 (epoch 8, iter 7): comm=422.9ms, bw=20.31 Gbps [contested]
[Job1-CRUX] iter 168 (epoch 8, iter 8): comm=427.0ms, bw=20.12 Gbps [contested]
[Job1-CRUX] iter 169 (epoch 8, iter 9): comm=414.0ms, bw=20.75 Gbps [contested]
[Job1-CRUX] iter 170 (epoch 8, iter 10): comm=419.2ms, bw=20.49 Gbps [contested]
[Job1-CRUX] iter 171 (epoch 8, iter 11): comm=411.9ms, bw=20.86 Gbps [contested]
[Job1-CRUX] iter 172 (epoch 8, iter 12): comm=409.4ms, bw=20.98 Gbps [contested]
[Job1-CRUX] iter 173 (epoch 8, iter 13): comm=420.7ms, bw=20.42 Gbps [contested]
[Job1-CRUX] iter 174 (epoch 8, iter 14): comm=413.1ms, bw=20.79 Gbps [contested]
[Job1-CRUX] iter 175 (epoch 8, iter 15): comm=409.1ms, bw=21.00 Gbps [contested]
[Job1-CRUX] iter 176 (epoch 8, iter 16): comm=428.7ms, bw=20.04 Gbps [contested]
[Job1-CRUX] iter 177 (epoch 8, iter 17): comm=406.0ms, bw=21.15 Gbps [contested]
[Job1-CRUX] iter 178 (epoch 8, iter 18): comm=440.5ms, bw=19.50 Gbps [contested]
[Job1-CRUX] iter 179 (epoch 8, iter 19): comm=440.8ms, bw=19.49 Gbps [contested]
[Job1-CRUX] iter 180 (epoch 9, iter 0): comm=414.4ms, bw=20.73 Gbps [contested]
[Job1-CRUX] iter 181 (epoch 9, iter 1): comm=430.8ms, bw=19.94 Gbps [contested]
[Job1-CRUX] iter 182 (epoch 9, iter 2): comm=407.3ms, bw=21.09 Gbps [contested]
[Job1-CRUX] iter 183 (epoch 9, iter 3): comm=424.5ms, bw=20.24 Gbps [contested]
[Job1-CRUX] iter 184 (epoch 9, iter 4): comm=414.1ms, bw=20.74 Gbps [contested]
[Job1-CRUX] iter 185 (epoch 9, iter 5): comm=435.5ms, bw=19.73 Gbps [contested]
[Job1-CRUX] iter 186 (epoch 9, iter 6): comm=427.4ms, bw=20.10 Gbps [contested]
[Job1-CRUX] iter 187 (epoch 9, iter 7): comm=432.0ms, bw=19.88 Gbps [contested]
[Job1-CRUX] iter 188 (epoch 9, iter 8): comm=405.0ms, bw=21.21 Gbps [contested]
[Job1-CRUX] iter 189 (epoch 9, iter 9): comm=438.2ms, bw=19.60 Gbps [contested]
[Job1-CRUX] iter 190 (epoch 9, iter 10): comm=425.0ms, bw=20.21 Gbps [contested]
[Job1-CRUX] iter 191 (epoch 9, iter 11): comm=418.5ms, bw=20.52 Gbps [contested]
[Job1-CRUX] iter 192 (epoch 9, iter 12): comm=427.1ms, bw=20.11 Gbps [contested]
[Job1-CRUX] iter 193 (epoch 9, iter 13): comm=441.1ms, bw=19.47 Gbps [contested]
[Job1-CRUX] iter 194 (epoch 9, iter 14): comm=414.2ms, bw=20.74 Gbps [contested]
[Job1-CRUX] iter 195 (epoch 9, iter 15): comm=423.8ms, bw=20.27 Gbps [contested]
[Job1-CRUX] iter 196 (epoch 9, iter 16): comm=449.1ms, bw=19.13 Gbps [contested]
[Job1-CRUX] iter 197 (epoch 9, iter 17): comm=411.0ms, bw=20.90 Gbps [contested]
[Job1-CRUX] iter 198 (epoch 9, iter 18): comm=435.7ms, bw=19.72 Gbps [contested]
[Job1-CRUX] iter 199 (epoch 9, iter 19): comm=440.1ms, bw=19.52 Gbps [contested]
[Job1-CRUX] iter 200 (epoch 10, iter 0): comm=419.1ms, bw=20.50 Gbps [contested]
[Job1-CRUX] iter 201 (epoch 10, iter 1): comm=452.7ms, bw=18.98 Gbps [contested]
[Job1-CRUX] iter 202 (epoch 10, iter 2): comm=429.1ms, bw=20.02 Gbps [contested]
[Job1-CRUX] iter 203 (epoch 10, iter 3): comm=410.9ms, bw=20.91 Gbps [contested]
[Job1-CRUX] iter 204 (epoch 10, iter 4): comm=426.6ms, bw=20.13 Gbps [contested]
[Job1-CRUX] iter 205 (epoch 10, iter 5): comm=424.0ms, bw=20.26 Gbps [contested]
[Job1-CRUX] iter 206 (epoch 10, iter 6): comm=431.9ms, bw=19.89 Gbps [contested]
[Job1-CRUX] iter 207 (epoch 10, iter 7): comm=436.1ms, bw=19.70 Gbps [contested]
[Job1-CRUX] iter 208 (epoch 10, iter 8): comm=435.1ms, bw=19.74 Gbps [contested]
