iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
284,14,2048,30000,0.27237,31.5377,phase2
285,14,2048,30000,0.262418,32.7338,phase2
286,14,2048,30000,0.264666,32.4557,phase2
287,14,2048,30000,0.268184,32.03,phase2
288,14,2048,30000,0.258297,33.256,phase2
289,14,2048,30000,0.266858,32.1892,phase2
290,14,2048,30000,0.263428,32.6082,phase2
291,14,2048,30000,0.252071,34.0774,phase2
292,14,2048,30000,0.262484,32.7256,phase2
293,14,2048,30000,0.262222,32.7582,phase2
294,14,2048,30000,0.26817,32.0317,phase2
295,14,2048,30000,0.260605,32.9616,phase2
296,14,2048,30000,0.258496,33.2305,phase2
297,14,2048,30000,0.280879,30.5824,phase2
298,14,2048,30000,0.272141,31.5643,phase2
299,14,2048,30000,0.258951,33.172,phase2
