regime,scenario,arm,round,job_id,label,tier,c_policy,c_eval,slowdown_mean,slowdown_std,attainment_mean,slo_met_frac,comm_slowdown_v1,slowdown_lt1
S1_deep,S1,longliu,5,4,J4_S_XS,standard,2.0,2.0,1.5735,0.1215,0.7867,0.995,4.8233,N
S1_deep,S1,static,1,0,J0_P_L,premium,1.35,1.5,1.2158,0.1409,0.8105,1.000,1.8081,N
S1_deep,S1,static,1,1,J1_P_M,premium,1.35,1.5,1.3076,0.1013,0.8718,0.995,2.1522,N
S1_deep,S1,static,1,2,J2_S_M,standard,2.0,2.0,0.9633,0.0305,0.4817,1.000,0.8427,Y
S1_deep,S1,static,1,3,J3_S_S,standard,2.0,2.0,0.9743,0.0306,0.4872,1.000,0.8598,Y
S1_deep,S1,static,1,4,J4_S_XS,standard,2.0,2.0,1.0085,0.0088,0.5042,1.000,1.0564,N
S1_deep,S1,static,2,0,J0_P_L,premium,1.35,1.5,1.2973,0.1713,0.8649,0.958,2.1134,N
S1_deep,S1,static,2,1,J1_P_M,premium,1.35,1.5,1.2495,0.0881,0.8330,0.984,1.9344,N
S1_deep,S1,static,2,2,J2_S_M,standard,2.0,2.0,1.0216,0.0434,0.5108,1.000,1.0928,N
S1_deep,S1,static,2,3,J3_S_S,standard,2.0,2.0,0.9984,0.0662,0.4992,1.000,0.9911,Y
S1_deep,S1,static,2,4,J4_S_XS,standard,2.0,2.0,1.0200,0.0100,0.5100,1.000,1.1334,N
S1_deep,S1,static,3,0,J0_P_L,premium,1.35,1.5,1.3437,0.1988,0.8958,0.684,2.2872,N
S1_deep,S1,static,3,1,J1_P_M,premium,1.35,1.5,1.3924,0.1263,0.9283,0.837,2.4696,N
S1_deep,S1,static,3,2,J2_S_M,standard,2.0,2.0,1.0106,0.0491,0.5053,1.000,1.0454,N
S1_deep,S1,static,3,3,J3_S_S,standard,2.0,2.0,1.0365,0.0426,0.5183,1.000,1.1995,N
S1_deep,S1,static,3,4,J4_S_XS,standard,2.0,2.0,1.0216,0.0085,0.5108,1.000,1.1442,N
S1_deep,S1,static,4,0,J0_P_L,premium,1.35,1.5,1.2343,0.1609,0.8229,0.984,1.8777,N
S1_deep,S1,static,4,1,J1_P_M,premium,1.35,1.5,1.2974,0.0869,0.8649,0.984,2.1138,N
S1_deep,S1,static,4,2,J2_S_M,standard,2.0,2.0,1.0201,0.0202,0.5100,1.000,1.0861,N
S1_deep,S1,static,4,3,J3_S_S,standard,2.0,2.0,0.9976,0.0512,0.4988,1.000,0.9869,Y
S1_deep,S1,static,4,4,J4_S_XS,standard,2.0,2.0,1.0216,0.0151,0.5108,1.000,1.1438,N
S1_deep,S1,static,5,0,J0_P_L,premium,1.35,1.5,1.3510,0.2117,0.9006,0.595,2.3145,N
S1_deep,S1,static,5,1,J1_P_M,premium,1.35,1.5,1.4029,0.1552,0.9353,0.742,2.5089,N
S1_deep,S1,static,5,2,J2_S_M,standard,2.0,2.0,1.0173,0.0275,0.5086,1.000,1.0742,N
S1_deep,S1,static,5,3,J3_S_S,standard,2.0,2.0,0.9952,0.0253,0.4976,1.000,0.9736,Y
S1_deep,S1,static,5,4,J4_S_XS,standard,2.0,2.0,1.0228,0.0125,0.5114,1.000,1.1521,N
S1_moderate,S1,fair,1,0,J0_P_L,premium,1.35,1.5,1.0556,0.1073,0.7037,1.000,1.2083,N
S1_moderate,S1,fair,1,1,J1_P_M,premium,1.35,1.5,1.2096,0.1060,0.8064,0.989,1.7851,N
S1_moderate,S1,fair,1,2,J2_S_M,standard,2.0,2.0,1.3336,0.0715,0.6668,1.000,2.4318,N
S1_moderate,S1,fair,1,3,J3_S_S,standard,2.0,2.0,1.2931,0.0637,0.6465,1.000,2.6014,N
S1_moderate,S1,fair,1,4,J4_S_XS,standard,2.0,2.0,1.2584,0.0365,0.6292,1.000,2.7229,N
S1_moderate,S1,fair,2,0,J0_P_L,premium,1.35,1.5,1.0955,0.1380,0.7304,1.000,1.3578,N
S1_moderate,S1,fair,2,1,J1_P_M,premium,1.35,1.5,1.3924,0.1490,0.9283,0.747,2.4698,N
S1_moderate,S1,fair,2,2,J2_S_M,standard,2.0,2.0,1.4276,0.0828,0.7138,1.000,2.8353,N
S1_moderate,S1,fair,2,3,J3_S_S,standard,2.0,2.0,1.3675,0.0610,0.6837,1.000,3.0080,N
S1_moderate,S1,fair,2,4,J4_S_XS,standard,2.0,2.0,1.3270,0.0456,0.6635,1.000,3.1798,N
S1_moderate,S1,fair,3,0,J0_P_L,premium,1.35,1.5,1.0008,0.0930,0.6672,1.000,1.0028,N
S1_moderate,S1,fair,3,1,J1_P_M,premium,1.35,1.5,1.2787,0.1053,0.8524,1.000,2.0436,N
S1_moderate,S1,fair,3,2,J2_S_M,standard,2.0,2.0,1.2587,0.0402,0.6294,1.000,2.1104,N
S1_moderate,S1,fair,3,3,J3_S_S,standard,2.0,2.0,1.2235,0.0259,0.6118,1.000,2.2216,N
S1_moderate,S1,fair,3,4,J4_S_XS,standard,2.0,2.0,1.2209,0.0140,0.6104,1.000,2.4726,N
S1_moderate,S1,fair,4,0,J0_P_L,premium,1.35,1.5,1.0636,0.0905,0.7090,1.000,1.2381,N
S1_moderate,S1,fair,4,1,J1_P_M,premium,1.35,1.5,1.2884,0.1080,0.8589,1.000,2.0802,N
S1_moderate,S1,fair,4,2,J2_S_M,standard,2.0,2.0,1.2535,0.0533,0.6267,1.000,2.0879,N
S1_moderate,S1,fair,4,3,J3_S_S,standard,2.0,2.0,1.2640,0.0319,0.6320,1.000,2.4427,N
S1_moderate,S1,fair,4,4,J4_S_XS,standard,2.0,2.0,1.2072,0.0144,0.6036,1.000,2.3811,N
S1_moderate,S1,fair,5,0,J0_P_L,premium,1.35,1.5,1.0656,0.1042,0.7104,1.000,1.2455,N
S1_moderate,S1,fair,5,1,J1_P_M,premium,1.35,1.5,1.3273,0.1222,0.8848,0.979,2.2257,N
S1_moderate,S1,fair,5,2,J2_S_M,standard,2.0,2.0,1.2673,0.0453,0.6336,1.000,2.1472,N
S1_moderate,S1,fair,5,3,J3_S_S,standard,2.0,2.0,1.2943,0.1220,0.6471,0.995,2.6082,N
S1_moderate,S1,fair,5,4,J4_S_XS,standard,2.0,2.0,1.2588,0.0230,0.6294,1.000,2.7254,N
S1_moderate,S1,longliu,1,0,J0_P_L,premium,1.35,1.5,0.9504,0.0250,0.6336,1.000,0.8142,Y
S1_moderate,S1,longliu,1,1,J1_P_M,premium,1.35,1.5,0.9671,0.0231,0.6448,1.000,0.8769,Y
S1_moderate,S1,longliu,1,2,J2_S_M,standard,2.0,2.0,1.2719,0.0705,0.6360,1.000,2.1671,N
S1_moderate,S1,longliu,1,3,J3_S_S,standard,2.0,2.0,1.3127,0.0919,0.6563,1.000,2.7085,N
S1_moderate,S1,longliu,1,4,J4_S_XS,standard,2.0,2.0,1.0138,0.0120,0.5069,1.000,1.0921,N
S1_moderate,S1,longliu,2,0,J0_P_L,premium,1.35,1.5,0.9079,0.0021,0.6052,1.000,0.6549,Y
S1_moderate,S1,longliu,2,1,J1_P_M,premium,1.35,1.5,1.3513,0.2214,0.9009,0.674,2.3157,N
S1_moderate,S1,longliu,2,2,J2_S_M,standard,2.0,2.0,1.2084,0.0241,0.6042,1.000,1.8943,N
S1_moderate,S1,longliu,2,3,J3_S_S,standard,2.0,2.0,1.2597,0.0170,0.6299,1.000,2.4194,N
S1_moderate,S1,longliu,2,4,J4_S_XS,standard,2.0,2.0,1.5308,0.0644,0.7654,0.995,4.5386,N
S1_moderate,S1,longliu,3,0,J0_P_L,premium,1.35,1.5,0.9547,0.0111,0.6364,1.000,0.8302,Y
S1_moderate,S1,longliu,3,1,J1_P_M,premium,1.35,1.5,1.5398,0.3646,1.0265,0.542,3.0217,N
S1_moderate,S1,longliu,3,2,J2_S_M,standard,2.0,2.0,1.2610,0.0218,0.6305,1.000,2.1201,N
S1_moderate,S1,longliu,3,3,J3_S_S,standard,2.0,2.0,1.3568,0.1108,0.6784,0.989,2.9500,N
S1_moderate,S1,longliu,3,4,J4_S_XS,standard,2.0,2.0,1.1673,0.0439,0.5837,1.000,2.1154,N
S1_moderate,S1,longliu,4,0,J0_P_L,premium,1.35,1.5,0.9104,0.0154,0.6069,1.000,0.6643,Y
S1_moderate,S1,longliu,4,1,J1_P_M,premium,1.35,1.5,1.4474,0.3978,0.9649,0.516,2.6755,N
S1_moderate,S1,longliu,4,2,J2_S_M,standard,2.0,2.0,1.2255,0.1219,0.6128,0.995,1.9679,N
