time_s,mean,std,seed0,seed1,seed2,seed3,seed4
304.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
304.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
304.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
304.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
305.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
305.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
305.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
305.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
306.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
306.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
306.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
306.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
307.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
307.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
307.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
307.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
308.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
308.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
308.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
308.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
309.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
309.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
309.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
309.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
310.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
310.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
310.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
310.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
311.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
311.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
311.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
311.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
312.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
312.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
312.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
312.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
313.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
313.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
313.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
313.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
314.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
314.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
314.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
314.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
315.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
315.25,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
315.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
315.75,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
316.00,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
316.25,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
316.50,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
316.75,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
317.00,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
317.25,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
317.50,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
317.75,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
318.00,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
318.25,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
318.50,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
318.75,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
319.00,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
319.25,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
319.50,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
319.75,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
320.00,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
320.25,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
320.50,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
320.75,0.100000,0.093541,0.000000,0.250000,0.125000,0.000000,0.125000
321.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
321.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
321.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
321.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
